People,PPV,Haversine distance
0,0,2.4299232868598564
1,44,2.083112015621039
2,44,2.3772578375860185
3,2,0.7642031025221454
4,19,2.1144519401105413
5,92,1.7679937577973925
6,40,0.983034725583676
7,70,4.558415019440984
8,40,4.558332979851707
9,0,6.900100547834623
10,44,5.866961498041341
11,0,5.713799683687385
12,0,1.4555074528057534
13,0,3.515799456550541
14,0,6.567433287402844
15,44,5.348419507522783
16,58,3.363359535971613
17,70,6.20255387627318
18,40,0.761940986820888
19,71,1.3872716871430437
20,0,2.976952508741622
21,40,3.6137275725954185
22,0,2.11052081970952
23,70,0.7045539363262535
24,40,6.5782676727438965
25,0,5.843434157389558
26,0,4.868786183031898
27,71,3.3520184039507566
28,0,3.5482769282427573
29,0,4.883540423695101
30,44,3.9634808267654265
31,0,2.4283297713142726
32,44,5.195541118428499
33,58,2.9273510311088584
34,19,2.7774554342221585
35,0,3.792169725279823
36,40,4.408647324344602
37,40,3.2495832096880077
38,40,2.711192089072224
39,19,3.4966174162175316
40,0,3.676437677166673
41,40,2.504439246873966
42,40,3.7039900144684896
43,0,4.099550732685785
44,58,3.525755282735734
45,40,1.7576554318471507
46,44,5.654067696609354
47,44,4.56897768268286
48,70,6.241449145383131
49,40,1.9088547259231405
50,40,2.713218044523173
51,40,3.301375966738067
52,44,3.4100511880154625
53,0,7.807707914800427
54,31,3.752622053165767
55,0,7.116940749157903
56,0,6.696216225490021
57,40,2.5585762899955142
58,44,3.660009812719748
59,31,4.309168118280762
60,97,2.271416939302888
61,44,4.474567474665157
62,2,1.4384764399901677
63,19,2.547767284567856
64,40,3.0595624868002727
65,58,5.9625435668493525
66,0,7.307302227582018
67,58,5.524738299954511
68,44,7.008472107051816
69,40,3.2012607791301075
70,0,2.8273092525580865
71,44,2.452586878061485
72,2,2.0887708928832467
73,70,2.4059714717368004
74,58,4.839209222476717
75,44,3.338694684280749
76,44,3.31064773362749
77,44,0.3219841212552786
78,40,2.2578005661068468
79,5,2.0643036567380624
80,19,2.095856018711088
81,19,6.470433183142208
82,31,5.166674394123985
83,40,1.441551351921051
84,31,7.173677642324489
85,44,5.461152562708803
86,0,2.135897430954055
87,58,3.5355150144840937
88,40,4.352752821274142
89,0,2.9237638064994576
90,92,1.8275999514624557
91,70,4.245641126700625
92,40,4.873146451914784
93,92,2.1165192118673506
94,0,7.324058512679278
95,19,2.034220368577073
96,70,7.619626296841399
97,39,2.728278622236924
98,19,5.942614556157208
99,15,1.6779712572846162
100,40,3.2906278431668476
101,70,2.9291656590653856
102,44,3.3010046722742974
103,19,3.2474467283167088
104,40,2.2035213264304314
105,0,2.3982548100419985
106,70,1.8218000021959273
107,70,1.6357143542338188
108,44,6.010087836946859
109,92,1.322942642978505
110,40,2.4800561136073838
111,58,3.67067482224695
112,92,0.9936348111464282
113,44,3.147299746076047
114,58,5.280803415124521
115,71,1.3383303111836684
116,0,1.7869564555870951
117,40,2.4934887168215054
118,97,4.970871381202147
119,31,2.787279132988024
120,40,3.1751326954084877
121,44,2.8851743677671444
122,44,5.835260491390869
123,0,5.529207708080589
124,44,1.314806493324686
125,97,0.9851224684170302
126,5,2.2208714045693947
127,44,6.145224681774933
