People,PPV,Haversine 
0,0,2.429923287
1,44,2.083112016
2,44,2.377257838
3,2,0.764203103
4,19,2.11445194
5,92,1.767993758
6,40,0.983034726
7,70,4.558415019
8,40,4.55833298
9,0,6.900100548
10,44,5.866961498
11,0,5.713799684
12,0,1.455507453
13,0,3.515799457
14,0,6.567433287
15,44,5.348419508
16,58,3.363359536
17,70,6.202553876
18,40,0.761940987
19,71,1.387271687
20,0,2.976952509
21,40,3.613727573
22,0,2.11052082
23,70,0.704553936
24,40,6.578267673
25,0,5.843434157
26,0,4.868786183
27,71,3.352018404
28,0,3.548276928
29,0,4.883540424
30,44,3.963480827
31,0,2.428329771
32,44,5.195541118
33,58,2.927351031
34,19,2.777455434
35,0,3.792169725
36,40,4.408647324
37,40,3.24958321
38,40,2.711192089
39,19,3.496617416
40,0,3.676437677
41,40,2.504439247
42,40,3.703990014
43,0,4.099550733
44,58,3.525755283
45,40,1.757655432
46,44,5.654067697
47,44,4.568977683
48,70,6.241449145
49,40,1.908854726
50,40,2.713218045
51,40,3.301375967
52,44,3.410051188
53,0,7.807707915
54,31,3.752622053
55,0,7.116940749
56,0,6.696216225
57,40,2.55857629
58,44,3.660009813
59,31,4.309168118
60,97,2.271416939
61,44,4.474567475
62,2,1.43847644
63,19,2.547767285
64,40,3.059562487
65,58,5.962543567
66,0,7.307302228
67,58,5.5247383
68,44,7.008472107
69,40,3.201260779
70,0,2.827309253
71,44,2.452586878
72,2,2.088770893
73,70,2.405971472
74,58,4.839209222
75,44,3.338694684
76,44,3.310647734
77,44,0.321984121
78,40,2.257800566
79,5,2.064303657
80,19,2.095856019
81,19,6.470433183
82,31,5.166674394
83,40,1.441551352
84,31,7.173677642
85,44,5.461152563
86,0,2.135897431
87,58,3.535515014
88,40,4.352752821
89,0,2.923763806
90,92,1.827599951
91,70,4.245641127
92,40,4.873146452
93,92,2.116519212
94,0,7.324058513
95,19,2.034220369
96,70,7.619626297
97,39,2.728278622
98,19,5.942614556
99,15,1.677971257
100,40,3.290627843
101,70,2.929165659
102,44,3.301004672
103,19,3.247446728
104,40,2.203521326
105,0,2.39825481
106,70,1.821800002
107,70,1.635714354
108,44,6.010087837
109,92,1.322942643
110,40,2.480056114
111,58,3.670674822
112,92,0.993634811
113,44,3.147299746
114,58,5.280803415
115,71,1.338330311
116,0,1.786956456
117,40,2.493488717
118,97,4.970871381
119,31,2.787279133
120,40,3.175132695
121,44,2.885174368
122,44,5.835260491
123,0,5.529207708
124,44,1.314806493
125,97,0.985122468
126,5,2.220871405
127,44,6.145224682
128,39,2.168456288
129,92,3.051747098
130,40,2.400382793
131,44,1.276163831
132,19,0.696265299
133,40,4.238994491
134,40,3.247572711
135,5,2.676773157
136,44,2.547034143
137,40,4.395737634
138,70,1.512707469
139,70,2.664895951
140,5,2.175813096
141,39,3.032507672
142,40,4.077329429
143,5,3.23633388
144,58,5.884046781
145,40,0.193226764
146,19,3.011543938
147,31,5.592751196
148,40,8.150908888
149,92,1.598634364
150,0,6.960718931
151,44,6.662356103
152,70,2.629818198
153,19,2.472937329
154,0,6.693001372
155,0,2.345335467
156,0,7.450779064
157,40,3.260101767
158,58,4.568937065
159,2,0.423189876
160,40,2.324303629
161,92,1.428881509
162,0,5.82899481
163,0,5.448760926
164,40,3.563060382
165,31,4.349222896
166,58,4.629145944
167,44,1.764552947
168,58,4.656812059
169,2,2.922166187
170,40,0.868375774
171,0,7.343453088
172,40,4.123960206
173,58,4.566396476
174,0,7.101741718
175,40,7.691878959
176,2,0.532711519
177,44,6.041824446
178,0,5.532626563
179,58,1.060183944
180,19,2.725703364
181,40,1.566356743
182,2,1.49995027
183,0,6.174453579
184,58,1.267897968
185,97,3.257731765
186,2,2.242613814
187,40,0.626420443
188,0,6.0957217
189,70,8.668457013
190,44,2.734328983
191,40,3.307991026
192,40,4.62034124
193,58,4.663635389
194,58,5.66694901
195,31,7.739558181
196,5,0.721179715
197,0,7.261413137
198,97,2.321017474
199,2,2.136226426
200,0,7.547210377
201,58,1.603407088
202,58,5.778276268
203,2,0.699372354
204,44,6.303471545
205,0,5.466778585
206,19,1.397021243
207,44,7.965771138
208,31,6.934717657
209,44,6.412109345
210,92,1.55595035
211,44,1.919618251
212,70,5.417721159
213,0,2.979021357
214,2,0.507518456
215,5,1.111722541
216,97,1.854981973
217,40,3.237032349
218,5,2.669933339
219,97,2.526306761
220,0,2.546923929
221,0,1.969315923
222,0,7.562697204
223,44,1.825609972
224,40,2.334591244
225,70,2.796792703
226,31,2.608001075
227,0,6.111944874
228,92,1.067316081
229,19,2.017426008
230,0,1.082908963
231,2,6.245421544
232,40,0.831177341
233,97,4.860794733
234,40,6.331693127
235,58,4.644759052
236,0,5.765699843
237,0,6.112222458
238,0,2.164469425
239,44,4.443619308
240,44,1.316288208
241,19,2.264606506
242,40,3.481732909
243,71,1.178431645
244,31,4.21575334
245,2,0.637956768
246,40,4.466500285
247,44,3.886304483
248,58,2.989922971
249,70,2.760603886
250,0,1.514694973
251,0,6.719083646
252,40,2.945617281
253,40,2.61484374
254,2,0.530970358
255,15,1.095992683
256,0,5.642827938
257,0,3.279437667
258,97,1.319862634
259,44,4.364039621
260,39,1.443043491
261,0,0.875640455
262,40,0.68828947
263,19,2.505006832
264,0,5.825691701
265,0,5.991203917
266,0,2.990373759
267,58,4.653775181
268,44,3.643536365
269,92,2.383202318
270,19,2.707432309
271,0,5.945123127
272,40,3.206747689
273,19,3.845668233
274,40,1.838903765
275,58,5.042297627
276,0,2.466719696
277,44,2.808129111
278,58,5.62508825
279,97,2.241935983
280,19,1.312143768
281,2,4.756800113
282,19,4.052519572
283,0,3.529835799
284,40,2.136379147
285,19,0.67799766
286,92,2.171780116
287,44,1.61289669
288,40,1.869362108
289,0,3.06284408
290,15,1.40412068
291,70,2.243675732
292,19,3.37582691
293,40,3.401912959
294,97,3.260233592
295,97,5.046826576
296,70,1.992814426
297,0,4.089102538
298,0,6.948715523
299,19,3.869536604
300,92,2.652348429
301,44,1.732354773
302,0,1.405689882
303,70,4.747405493
304,40,1.595682336
305,39,2.713473463
306,31,6.530634915
307,44,1.096327224
308,31,3.174951301
309,0,4.220615594
310,19,2.686383647
311,97,5.542522524
